mode,pos_class,neg_class,n_pos,n_neg,feature_type,model,auroc,f1,precision,recall,auroc_group_2,auroc_group_3,auroc_group_4,auroc_group_5,auroc_group_6,auroc_group_7,auroc_group_8,auroc_group_9,auroc_group_10
pos_vs_neg,Positive,Negative,140,129,combined-pca-50,RandomForest,0.4408914728682171,0.5307443365695793,0.48520710059171596,0.5857142857142857,0.7204968944099379,0.44345238095238093,0.6684027777777778,0.5677083333333334,0.6822222222222222,0.5097402597402598,0.5153846153846153,0.4291497975708502,0.5740740740740741
pos_vs_neg,Positive,Negative,140,129,combined-pca-50,SVM,0.4460686600221484,0.5136986301369864,0.4934210526315789,0.5357142857142857,0.44720496894409945,0.5892857142857143,0.6701388888888888,0.328125,0.6022222222222222,0.5487012987012987,0.6692307692307693,0.43319838056680166,0.5833333333333333
pos_vs_neg,Positive,Negative,140,129,combined-pca-100,LogisticRegression,0.49083610188261345,0.5324232081911263,0.5098039215686274,0.5571428571428572,0.3975155279503106,0.5982142857142857,0.6197916666666666,0.7864583333333334,0.5844444444444444,0.5876623376623378,0.6923076923076923,0.3441295546558705,0.35185185185185186
pos_vs_neg,Positive,Negative,140,129,combined-pca-100,RandomForest,0.438233665559247,0.5131578947368421,0.47560975609756095,0.5571428571428572,0.577639751552795,0.48511904761904767,0.6579861111111112,0.49479166666666663,0.648888888888889,0.5357142857142857,0.5076923076923077,0.44129554655870445,0.5462962962962963
pos_vs_neg,Positive,Negative,140,129,combined-pca-100,SVM,0.39781284606866,0.45390070921985815,0.4507042253521127,0.45714285714285713,0.34782608695652173,0.48511904761904767,0.626736111111111,0.49479166666666663,0.6200000000000001,0.4642857142857143,0.6538461538461539,0.3360323886639676,0.5
pos_vs_unlabeled,Positive,Unlabeled,140,28,prosodic,LogisticRegression,0.4959183673469388,0.7480314960629921,0.8333333333333334,0.6785714285714286,0.8260869565217391,0.2375,0.1111111111111111,0.375,0.7166666666666667,0.5079365079365079,0.6923076923076923,0.11538461538461539,0.7916666666666666
pos_vs_unlabeled,Positive,Unlabeled,140,28,prosodic,RandomForest,0.4896683673469388,0.9090909090909091,0.8333333333333334,1.0,0.826086956521739,0.29374999999999996,0.8333333333333334,0.40625,0.425,0.626984126984127,0.3076923076923077,0.8653846153846154,0.375
pos_vs_unlabeled,Positive,Unlabeled,140,28,prosodic,SVM,0.36415816326530615,0.7509578544061303,0.8099173553719008,0.7,0.2608695652173913,0.25,0.3333333333333333,0.9375,0.5333333333333333,0.3888888888888889,0.6153846153846154,0.34615384615384615,0.35416666666666663
pos_vs_unlabeled,Positive,Unlabeled,140,28,transcript,LogisticRegression,0.5112244897959184,0.8439716312056738,0.8380281690140845,0.85,0.5362318840579711,0.425,0.6111111111111112,0.75,0.6499999999999999,0.5555555555555557,0.38461538461538464,0.6923076923076923,0.5
pos_vs_unlabeled,Positive,Unlabeled,140,28,transcript,RandomForest,0.5105867346938776,0.9055374592833876,0.8323353293413174,0.9928571428571429,0.6956521739130435,0.6375,0.4722222222222222,0.5625,0.45833333333333337,0.4285714285714286,0.07692307692307693,0.7692307692307692,0.9583333333333333
pos_vs_unlabeled,Positive,Unlabeled,140,28,transcript,SVM,0.38622448979591834,0.8837209302325582,0.8260869565217391,0.95,0.5507246376811594,0.3625,0.2777777777777778,0.6875,0.5166666666666666,0.5000000000000001,0.38461538461538464,0.6923076923076923,0.7916666666666667
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined,LogisticRegression,0.5181122448979592,0.841726618705036,0.8478260869565217,0.8357142857142857,0.5072463768115942,0.35,0.7222222222222222,0.75,0.7166666666666667,0.5714285714285714,0.46153846153846156,0.6923076923076923,0.7083333333333334
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined,RandomForest,0.49132653061224485,0.9055374592833876,0.8323353293413174,0.9928571428571429,0.7753623188405797,0.45625,0.1111111111111111,0.25,0.4,0.5317460317460317,0.3076923076923077,0.8846153846153846,1.0
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined,SVM,0.3599489795918367,0.8910891089108911,0.8282208588957055,0.9642857142857143,0.4927536231884059,0.2875,0.3333333333333333,0.6875,0.5,0.5158730158730159,0.38461538461538464,0.7692307692307692,0.5833333333333333
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined-pca-50,LogisticRegression,0.4877551020408163,0.8088235294117647,0.8333333333333334,0.7857142857142857,0.5652173913043479,0.35,0.7777777777777778,0.5625,0.7166666666666667,0.5,0.6153846153846154,0.23076923076923078,0.8333333333333333
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined-pca-50,RandomForest,0.4646683673469388,0.9090909090909091,0.8333333333333334,1.0,0.7463768115942029,0.36875,0.5833333333333334,0.75,0.2833333333333333,0.5952380952380952,0.46153846153846156,0.8076923076923077,0.5
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined-pca-50,SVM,0.38494897959183677,0.8762541806020067,0.8238993710691824,0.9357142857142857,0.42028985507246375,0.3125,0.05555555555555555,0.375,0.6166666666666667,0.6111111111111112,0.6153846153846154,0.6538461538461539,0.5416666666666667
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined-pca-100,LogisticRegression,0.5186224489795919,0.8191881918819188,0.8473282442748091,0.7928571428571428,0.5652173913043479,0.25,0.8888888888888888,0.8125,0.6499999999999999,0.5396825396825398,0.38461538461538464,0.46153846153846156,0.8333333333333333
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined-pca-100,RandomForest,0.39362244897959187,0.9090909090909091,0.8333333333333334,1.0,0.7463768115942029,0.23749999999999996,0.5277777777777778,0.5625,0.30833333333333335,0.44841269841269843,0.23076923076923078,0.6153846153846154,0.41666666666666663
pos_vs_unlabeled,Positive,Unlabeled,140,28,combined-pca-100,SVM,0.5357142857142858,0.9090909090909091,0.8333333333333334,1.0,0.5942028985507246,0.3125,0.8888888888888888,0.75,0.5333333333333333,0.5714285714285714,0.38461538461538464,0.7692307692307692,0.7916666666666666
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,prosodic,LogisticRegression,0.5996677740863787,0.8306451612903226,0.865546218487395,0.7984496124031008,0.6190476190476191,0.4571428571428572,0.25,0.5,0.65,0.5454545454545454,0.9,0.47368421052631576,0.4444444444444444
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,prosodic,RandomForest,0.4383997785160576,0.8943661971830986,0.8193548387096774,0.9844961240310077,0.6190476190476191,0.3047619047619048,0.625,0.5,0.5458333333333334,0.4797979797979798,0.4,0.43421052631578944,0.6666666666666666
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,prosodic,SVM,0.30938538205980065,0.7836734693877551,0.8275862068965517,0.7441860465116279,0.47619047619047616,0.5047619047619047,0.3125,0.16666666666666666,0.5333333333333333,0.4545454545454545,0.3,0.868421052631579,0.3055555555555556
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,transcript,LogisticRegression,0.45348837209302323,0.7857142857142857,0.8048780487804879,0.7674418604651163,0.8571428571428571,0.3142857142857143,0.5,0.8333333333333334,0.4666666666666667,0.41414141414141414,0.6,0.8421052631578947,0.2222222222222222
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,transcript,RandomForest,0.48062015503875966,0.9052631578947369,0.8269230769230769,1.0,0.7142857142857144,0.519047619047619,0.0,0.16666666666666666,0.3875,0.5808080808080808,0.1,0.9210526315789473,0.5555555555555556
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,transcript,SVM,0.4476744186046512,0.8960573476702509,0.8333333333333334,0.9689922480620154,0.8095238095238095,0.49523809523809526,0.0,0.8333333333333334,0.44166666666666665,0.5757575757575758,0.1,0.8421052631578947,0.7222222222222222
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined,LogisticRegression,0.4360465116279069,0.8015564202334631,0.8046875,0.7984496124031008,0.761904761904762,0.34285714285714286,0.4375,0.5,0.5166666666666666,0.4242424242424242,0.6,0.8157894736842105,0.05555555555555555
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined,RandomForest,0.5038759689922481,0.9052631578947369,0.8269230769230769,1.0,0.6190476190476191,0.6904761904761905,0.0,0.16666666666666666,0.37916666666666665,0.505050505050505,0.1,1.0,0.861111111111111
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined,SVM,0.48145071982281284,0.8857142857142857,0.8211920529801324,0.9612403100775194,0.8571428571428571,0.49523809523809526,0.125,0.8333333333333334,0.43333333333333335,0.6060606060606061,0.1,0.9473684210526316,0.8888888888888888
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined-pca-50,LogisticRegression,0.4759136212624585,0.7888446215139442,0.8114754098360656,0.7674418604651163,0.7142857142857143,0.3428571428571428,0.375,0.3333333333333333,0.6,0.48484848484848486,0.4,0.02631578947368421,0.0
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined-pca-50,RandomForest,0.5150885935769656,0.9020979020979021,0.821656050955414,1.0,0.6666666666666667,0.32857142857142857,0.71875,0.3333333333333333,0.5708333333333333,0.7171717171717171,0.45,0.7236842105263157,0.6111111111111112
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined-pca-50,SVM,0.41874307862679955,0.8832116788321168,0.8344827586206897,0.937984496124031,0.5238095238095238,0.4476190476190476,0.5625,0.8333333333333334,0.5083333333333333,0.5151515151515151,0.5,0.8157894736842105,0.8055555555555556
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined-pca-100,LogisticRegression,0.49390919158361024,0.8203125,0.8267716535433071,0.813953488372093,0.6190476190476191,0.3428571428571428,0.4375,1.0,0.6833333333333333,0.35353535353535354,0.8,0.9736842105263157,0.16666666666666666
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined-pca-100,RandomForest,0.4008859357696567,0.9020979020979021,0.821656050955414,1.0,0.5714285714285714,0.28095238095238095,0.375,0.5,0.6333333333333333,0.4696969696969697,0.9,0.8421052631578947,0.6111111111111112
neg_vs_unlabeled,Negative-valence,Unlabeled,129,28,combined-pca-100,SVM,0.44490586932447396,0.900709219858156,0.8300653594771242,0.9844961240310077,0.380952380952381,0.4476190476190476,0.25,0.8333333333333334,0.6749999999999999,0.46969696969696967,0.8,0.9210526315789473,0.8888888888888888
