state,n_positive,feature_type,model,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_group_2,auroc_group_3,auroc_group_4,auroc_group_5,auroc_group_6,auroc_group_7,auroc_group_8,auroc_group_9,auroc_group_10
Confused,58,combined,LogisticRegression,0.46979785969084426,0.04057014969454307,0.46068777080626494,0.03250865719217441,0.4792580469176214,0.024271059737689407,0.44482758620689655,0.044159477499536894,0.29380952380952385,0.503030303030303,0.37888888888888883,0.3273015873015873,0.6196190476190477,0.5154578754578755,0.38625000000000004,0.5208888888888888,0.22222222222222224
Confused,58,combined,RandomForest,0.43156956004756236,0.036818495251405584,0.4016855353796357,0.028509989315128326,0.4537020337850903,0.030406397133576915,0.3620689655172414,0.03616582235069488,0.36793650793650795,0.46924242424242424,0.4301388888888889,0.25343915343915346,0.5337460317460317,0.4437728937728938,0.37875000000000003,0.3706666666666667,0.24888888888888885
Confused,58,combined,SVM,0.39675980975029723,0.04014704387718002,0.4202479896261305,0.07766666818811471,0.4847644603458557,0.07213505800227152,0.37241379310344824,0.08203708450600221,0.46075396825396825,0.36090909090909085,0.32861111111111113,0.5822222222222223,0.5143492063492063,0.44731684981684977,0.6225,0.6844444444444444,0.16888888888888887
Curious,49,prosodic,LogisticRegression,0.4803831736776344,0.049221382696054285,0.4911938548615322,0.0305400113736298,0.4889474657787643,0.03643087254412697,0.4938775510204082,0.027074488084533888,0.7708333333333334,0.0,0.5524074074074075,0.3101190476190476,0.6320268620268621,0.23666666666666664,0.4453333333333333,0.6330357142857143,0.2708333333333333
Curious,49,prosodic,RandomForest,0.4476468138275719,0.010269406452073792,0.4708840668174791,0.05440426224327352,0.4602956150263841,0.02925916865630971,0.48571428571428577,0.08404596033458774,0.5472222222222223,0.0,0.4372222222222223,0.4988095238095238,0.5389041514041514,0.36444444444444446,0.5946666666666667,0.5095833333333333,0.5166666666666667
Curious,49,prosodic,SVM,0.36934610578925453,0.05939863728455205,0.44944085795878924,0.04411020589793859,0.4597461808708009,0.02954727332679112,0.4408163265306122,0.05858244936492786,0.3597222222222223,0.4,0.6184259259259259,0.4130952380952381,0.46472527472527475,0.4872222222222223,0.3626666666666667,0.48934523809523817,0.4083333333333333
Curious,49,transcript,LogisticRegression,0.5833402748854642,0.050684047940560244,0.5852901880381914,0.05128087169010206,0.5836455607884179,0.038060716630205486,0.5877551020408163,0.06505052020616009,0.7694444444444445,0.71,0.5387037037037037,0.5991071428571428,0.6985409035409036,0.5088888888888888,0.49733333333333335,0.6855059523809525,0.45
Curious,49,transcript,RandomForest,0.5767180341524365,0.03043952213166286,0.5731494257622077,0.02205280007765326,0.5932136406829152,0.03900080723639731,0.5551020408163264,0.008163265306122458,0.8097222222222223,0.5599999999999999,0.597037037037037,0.6154761904761904,0.6599862637362638,0.5730555555555557,0.502,0.715625,0.65
Curious,49,transcript,SVM,0.5696793002915452,0.04442511799889883,0.5489704796757151,0.04532358583058419,0.6076596980255518,0.05295082233948283,0.5020408163265306,0.04581621289927274,0.8055555555555556,0.5266666666666667,0.5725925925925927,0.66875,0.6642078754578755,0.5994444444444444,0.5933333333333333,0.7109821428571429,0.6625
Curious,49,combined,LogisticRegression,0.5743440233236152,0.03722059993755961,0.5712396971655929,0.04198174538689687,0.5633227752639517,0.03938404098965997,0.5795918367346939,0.04581621289927272,0.7305555555555556,0.5933333333333334,0.548148148148148,0.5339285714285714,0.7060805860805861,0.46111111111111114,0.6653333333333333,0.8285119047619048,0.475
Curious,49,combined,RandomForest,0.5654310703873386,0.03921883825569291,0.551994341529954,0.04039153828792809,0.5542772602271082,0.04368103604968461,0.5510204081632653,0.04653777245302603,0.7305555555555556,0.6266666666666667,0.6519444444444444,0.6113095238095239,0.6834722222222223,0.5847222222222223,0.6093333333333333,0.6981845238095239,0.6666666666666666
Curious,49,combined,SVM,0.5561016243231987,0.04936692886442844,0.5590580497686141,0.07294015645381485,0.6178300865800865,0.07638366059818807,0.5142857142857142,0.07787258787077107,0.7770833333333333,0.42000000000000004,0.5901851851851853,0.6505952380952381,0.6035531135531136,0.5794444444444444,0.6093333333333334,0.7364285714285714,0.6875
Conflicted,19,prosodic,LogisticRegression,0.3850415512465374,0.07099199326156831,0.43594633864210247,0.09464330619586644,0.42314073226544624,0.07373715798112515,0.4526315789473684,0.11815760168759815,0.4166666666666667,0.4666666666666667,0.5777777777777777,0.0,0.41047619047619055,,0.33333333333333337,0.25,0.16666666666666666
Conflicted,19,prosodic,RandomForest,0.4152354570637119,0.10837505411565264,0.436907686907687,0.07400653839679287,0.44932712215320914,0.07281495792571938,0.43157894736842106,0.09055079228465923,0.85,0.41111111111111115,0.6444444444444445,0.375,0.5428571428571429,,0.5666666666666667,0.4166666666666667,0.4444444444444445
Conflicted,19,prosodic,SVM,0.522437673130194,0.1197445120579027,0.4378658037194622,0.09421737545610748,0.4283660130718955,0.08582931281635614,0.4526315789473684,0.11337189067651587,0.5833333333333334,0.4333333333333333,0.4444444444444445,1.0,0.5771428571428571,,0.3666666666666667,0.7083333333333334,0.7777777777777778
Conflicted,19,transcript,LogisticRegression,0.489196675900277,0.06012037658171983,0.42868709661878546,0.06476983707035694,0.49904761904761896,0.0926016019804323,0.37894736842105264,0.061378440998371586,0.5166666666666667,0.7333333333333333,0.6444444444444445,0.625,0.34476190476190477,,0.5,0.75,0.6111111111111112
