state,n_positive,feature_type,model,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_group_2,auroc_group_3,auroc_group_4,auroc_group_5,auroc_group_6,auroc_group_7,auroc_group_8,auroc_group_9,auroc_group_10
Confused,58,prosodic,SVM,0.3808497536945813,0.02133778401040744,0.5473684210526316,0.0,0.7027027027027027,0.0,0.44827586206896547,5.551115123125783e-17,0.5833333333333334,0.5272727272727272,0.6666666666666666,0.6666666666666666,0.7250000000000001,0.2777777777777778,0.5,0.3,0.25
Confused,58,transcript,LogisticRegression,0.4661330049261084,0.0,0.6551724137931034,0.0,0.6551724137931034,0.0,0.6551724137931034,0.0,0.75,0.4,0.5,0.3333333333333333,0.625,0.5,0.375,0.8,0.6666666666666666
Confused,58,transcript,RandomForest,0.4889162561576354,0.0274640206152164,0.8137434759474038,0.007949510579199898,0.6961088074066818,0.007098648974050051,0.9793103448275863,0.012902266850944604,0.8666666666666668,0.6145454545454545,0.0,0.0,0.49250000000000005,0.5277777777777778,0.075,0.99,0.38333333333333336
Confused,58,transcript,SVM,0.3972906403940887,0.038978172980403916,0.7906976744186046,0.0,0.7183098591549296,0.0,0.8793103448275861,1.1102230246251565e-16,0.9166666666666667,0.6,0.0,0.0,0.495,0.5416666666666666,0.0,0.2,0.5333333333333333
Confused,58,combined,LogisticRegression,0.44642857142857145,0.0,0.6126126126126126,0.0,0.6415094339622641,0.0,0.5862068965517241,0.0,0.75,0.38181818181818183,0.5,0.3333333333333333,0.6,0.4722222222222222,0.5,1.0,0.0
Confused,58,combined,RandomForest,0.47413793103448276,0.00939720539533728,0.8114743843883531,0.010076732480322106,0.6963128122245077,0.007968125496962094,0.9724137931034484,0.017582825908940624,0.7833333333333334,0.5509090909090909,0.0,0.0,0.46749999999999997,0.5097222222222223,0.025,0.9800000000000001,0.5999999999999999
Confused,58,combined,SVM,0.41323891625615766,0.0407151499346529,0.7874015748031497,0.0,0.7246376811594203,0.0,0.8620689655172413,0.0,0.9166666666666667,0.5454545454545454,0.0,0.0,0.4800000000000001,0.5694444444444444,0.0,0.2,0.4666666666666667
Curious,52,prosodic,LogisticRegression,0.606456043956044,0.0,0.6530612244897959,0.0,0.6956521739130435,0.0,0.6153846153846154,0.0,0.8333333333333334,0.0,0.22222222222222224,0.5,0.7142857142857142,0.7222222222222222,1.0,0.375,0.75
Curious,52,prosodic,RandomForest,0.553228021978022,0.020168231516234956,0.7813141465892688,0.011181457565719258,0.6713357772203999,0.009848104804141724,0.9346153846153846,0.019611613513818398,0.8222222222222223,0.23999999999999994,0.8222222222222222,0.7375,0.46428571428571425,0.5555555555555556,0.12000000000000002,0.94375,0.525
Curious,52,prosodic,SVM,0.3137362637362637,0.026612216352111633,0.5742574257425742,0.0,0.5918367346938775,0.0,0.5576923076923077,0.0,0.11111111111111112,1.0,0.4666666666666666,0.0,0.4642857142857143,0.4833333333333334,0.5199999999999999,0.5625,0.5
