state,n_positive,feature_type,model,auroc_mean,auroc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
Confused,58,transcript,RandomForest,0.6942733990147782,0.015820450326954904,0.7889376188431577,0.007712206105683717,0.6827020052089517,0.008213480187252339,0.9344827586206896,0.012902266850944616
Confused,58,transcript,SVM,0.6752463054187192,0.005718318604061058,0.8103448275862067,1.1102230246251565e-16,0.8103448275862067,1.1102230246251565e-16,0.8103448275862067,1.1102230246251565e-16
Confused,58,combined,LogisticRegression,0.6884236453201971,0.0,0.7768595041322314,0.0,0.746031746031746,0.0,0.8103448275862067,1.1102230246251565e-16
Confused,58,combined,RandomForest,0.6729064039408867,0.02199715621848873,0.7965214320227131,0.0038459873025893793,0.6885045139264548,0.005759218646621369,0.9448275862068967,0.006896551724137945
Confused,58,combined,SVM,0.6767241379310345,0.0045583141683058475,0.7894736842105263,0.0,0.8035714285714286,0.0,0.7758620689655172,0.0
Curious,52,prosodic,LogisticRegression,0.606456043956044,0.0,0.6530612244897959,0.0,0.6956521739130435,0.0,0.6153846153846154,0.0
Curious,52,prosodic,RandomForest,0.553228021978022,0.020168231516234956,0.7813141465892688,0.011181457565719258,0.6713357772203999,0.009848104804141724,0.9346153846153846,0.019611613513818398
Curious,52,prosodic,SVM,0.3137362637362637,0.026612216352111633,0.5742574257425742,0.0,0.5918367346938775,0.0,0.5576923076923077,0.0
Curious,52,transcript,LogisticRegression,0.4196428571428572,4.965068306494546e-17,0.594059405940594,0.0,0.6122448979591837,0.0,0.5769230769230769,0.0
Curious,52,transcript,RandomForest,0.3179945054945055,0.02242947224286803,0.7502716006653014,0.016886420371214707,0.6338627858627859,0.011694640463353728,0.9192307692307693,0.028263343185959758
Curious,52,transcript,SVM,0.24835164835164836,0.03824408702016295,0.6727272727272727,0.0,0.6379310344827587,0.0,0.7115384615384616,0.0
Curious,52,combined,LogisticRegression,0.4471153846153847,5.551115123125783e-17,0.6346153846153846,0.0,0.6346153846153846,0.0,0.6346153846153846,0.0
Curious,52,combined,RandomForest,0.3385989010989011,0.028444349682516024,0.7436063492063492,0.006377353482453465,0.6317134004949433,0.0018283646602224324,0.9038461538461539,0.017200522903844575
Curious,52,combined,SVM,0.27898351648351644,0.020793091997048676,0.6666666666666666,0.0,0.6271186440677966,0.0,0.7115384615384616,0.0
Disengaged,20,prosodic,LogisticRegression,0.6184999999999999,0.054465585464584874,0.6090726817042607,0.045564474990359594,0.6092929292929293,0.03640373770880558,0.61,0.058309518948453015
Disengaged,20,prosodic,RandomForest,0.28274999999999995,0.07097270602139952,0.1890743570155335,0.06551911584761803,0.23172161172161174,0.07423259257622417,0.15999999999999998,0.05830951894845301
Disengaged,20,prosodic,SVM,0.2555,0.048493556272973,0.24958632982973752,0.1440567213559696,0.33672771672771673,0.17416494952158013,0.2,0.12247448713915891
Disengaged,20,transcript,LogisticRegression,0.38899999999999996,0.036076308015094885,0.40559165267766034,0.022690032856580698,0.41191311612364245,0.01494388326143199,0.4,0.0316227766016838
Disengaged,20,transcript,RandomForest,0.3085,0.06112180461995537,0.27891356126650246,0.06925520674542822,0.29143580877327013,0.05752781640574046,0.27,0.08124038404635961
Disengaged,20,transcript,SVM,0.28049999999999997,0.12187237176653287,0.342658382890941,0.07555397744325064,0.34718131646251177,0.07597760512059647,0.33999999999999997,0.08
Disengaged,20,combined,LogisticRegression,0.392,0.023151673805580433,0.40821283979178713,0.05212650410413845,0.4078149920255184,0.040207839472215054,0.41000000000000003,0.066332495807108
Disengaged,20,combined,RandomForest,0.2995,0.06283211758328698,0.29712173712173706,0.07466628238566775,0.31754643962848295,0.08456636511629291,0.28,0.06782329983125268
Disengaged,20,combined,SVM,0.26775000000000004,0.08792184029011224,0.28035358666937615,0.03263503681397508,0.3061437908496732,0.032649921037525884,0.26,0.03741657386773941
Conflicted,19,prosodic,LogisticRegression,0.48864265927977846,0.03488985372594744,0.46710921447763554,0.01908701922964943,0.4829721362229102,0.013949077803181196,0.4526315789473684,0.0257841025556124
Conflicted,19,prosodic,RandomForest,0.256786703601108,0.05892924554271351,0.17925016160310278,0.076976086373676,0.2360927960927961,0.08034334998340385,0.1473684210526316,0.06982367979695578
Conflicted,19,prosodic,SVM,0.5196675900277008,0.1375881064197929,0.22177035330261136,0.09367278163823373,0.2936285936285936,0.1146449835696764,0.1789473684210526,0.07877173445839876
Conflicted,19,transcript,LogisticRegression,0.5894736842105261,0.07264592449044209,0.5032085561497326,0.023998722644189157,0.5872742943331178,0.0467494020447839,0.44210526315789467,0.0257841025556124
Conflicted,19,transcript,RandomForest,0.41606648199445984,0.018050232196836453,0.3712305659364483,0.0724094110400121,0.4161416361416361,0.06326070367157526,0.3368421052631579,0.07877173445839876
Conflicted,19,transcript,SVM,0.1850415512465374,0.018428861361196557,0.47296936033778136,0.03128936223580476,0.48548147329107083,0.040157683615643744,0.46315789473684205,0.03938586722919938
Conflicted,19,combined,LogisticRegression,0.6415512465373961,0.07939272739134785,0.5409544284544283,0.062054109672299934,0.6174297924297925,0.0808248165728999,0.4842105263157895,0.06137844099837158
Conflicted,19,combined,RandomForest,0.37728531855955677,0.04373398920733537,0.3498703248703249,0.051625613702829275,0.3965165553400848,0.02954031986259713,0.3157894736842105,0.0665742665298606
Conflicted,19,combined,SVM,0.1811634349030471,0.02625594595251586,0.4422397671081882,0.07112447570539884,0.4841599190283401,0.05771973564931699,0.41052631578947374,0.08421052631578947
Surprised,16,prosodic,LogisticRegression,0.60078125,0.02665425329567497,0.5805034873583261,0.04315214573679532,0.5582142857142858,0.02735609637850938,0.6125,0.09185586535436918
Surprised,16,prosodic,RandomForest,0.36953125,0.0696846972530555,0.4317364117364117,0.07780006004921997,0.4336335491134252,0.080193735397866,0.4375,0.08838834764831845
Surprised,16,prosodic,SVM,0.297265625,0.10292357222109035,0.37921824801884774,0.11770800874243242,0.47206959706959706,0.10117866604377221,0.325,0.12119199643540822
Surprised,16,transcript,LogisticRegression,0.5640625,0.08495891700183683,0.521337513061651,0.05762443348977078,0.5633484162895928,0.08071566217297677,0.4875,0.046770717334674264
Surprised,16,transcript,RandomForest,0.457421875,0.12456834649789147,0.45647849462365586,0.09046010076292284,0.4777380952380952,0.10391677509009176,0.4375,0.07905694150420949
Surprised,16,transcript,SVM,0.22890625,0.06465286285835492,0.5650000000000001,0.036571847095819475,0.5821428571428571,0.05457395282120047,0.55,0.025
Surprised,16,combined,LogisticRegression,0.54453125,0.08524579580908961,0.5000835945663532,0.07079108755003684,0.5310277957336781,0.09853114917490628,0.475,0.049999999999999996
Surprised,16,combined,RandomForest,0.455859375,0.08666770738808227,0.48364849833147944,0.09569391810470348,0.5076923076923078,0.10007229470892691,0.4625,0.09354143466934853
Surprised,16,combined,SVM,0.222265625,0.0472381764307218,0.5515197956577267,0.05554093846255586,0.6173826173826173,0.06388375107617916,0.5,0.05590169943749474
Frustrated,16,prosodic,LogisticRegression,0.4328125,0.030896437395758106,0.4765569561157797,0.03781707669808393,0.47553827751196176,0.04450998567356102,0.4875,0.07288689868556625
Frustrated,16,prosodic,RandomForest,0.25234375,0.07518288249536924,0.16797395197395196,0.053333318077027736,0.21858585858585858,0.06558146442925815,0.1375,0.046770717334674264
Frustrated,16,prosodic,SVM,0.28828125,0.07453264215156839,0.09350649350649351,0.002120770340072012,0.18666666666666668,0.01632993161855453,0.0625,0.0
Frustrated,16,transcript,LogisticRegression,0.49921875,0.0841214361243613,0.482702890978753,0.08747397273868474,0.5120644061820532,0.07537179251520496,0.4625,0.10897247358851683
Frustrated,16,transcript,RandomForest,0.417578125,0.08826223523097945,0.3722847843871203,0.06773657706370934,0.41764901764901763,0.0778390397478422,0.3375,0.0637377439199098
Frustrated,16,transcript,SVM,0.4171875,0.09680567075654711,0.41974081091322474,0.07578255548242846,0.5042735042735043,0.05964562845253985,0.3625,0.082915619758885
Frustrated,16,combined,LogisticRegression,0.45546875,0.10034121473751452,0.385505376344086,0.07543423911308451,0.4203174603174603,0.06424474493059161,0.3625,0.09185586535436918
Frustrated,16,combined,RandomForest,0.426171875,0.04425283028554501,0.329825478768749,0.09900590521550524,0.39578088578088577,0.09833753758480698,0.2875,0.1015504800579495
Frustrated,16,combined,SVM,0.4234375,0.0993017615339728,0.44074775798913735,0.07011760817283874,0.5430769230769231,0.052982078023761744,0.375,0.07905694150420949
